subject,session,precue,intercept,slope
1,1,1,0.520106673240662,0.0819153785705566
1,2,1,0.520106673240662,0.0819153785705566
1,1,2,0.491650372743607,0.0891047567129135
1,2,2,0.491650372743607,0.0891047567129135
2,1,1,0.402304139221087,0.119972289539874
2,2,1,0.402304139221087,0.119972289539874
2,1,2,0.393810778856277,0.134749621152878
2,2,2,0.393810778856277,0.134749621152878
3,1,1,0.18813644349575,0.112118497490883
3,2,1,0.18813644349575,0.112118497490883
3,1,2,0.265410900115967,0.0328960418701172
3,2,2,0.265410900115967,0.0328960418701172
4,1,1,0.237445265054703,0.0382621288299561
4,2,1,0.237445265054703,0.0382621288299561
4,1,2,0.276063323020935,0.0472028255462646
4,2,2,0.276063323020935,0.0472028255462646
5,1,1,0.293541565537453,0.118894562125206
5,2,1,0.293541565537453,0.118894562125206
5,1,2,0.314338684082031,0.0802450180053711
5,2,2,0.314338684082031,0.0802450180053711
6,1,1,0.205600295215845,0.0449758395552635
6,2,1,0.205600295215845,0.0449758395552635
6,1,2,0.22322516143322,-0.0324211120605469
6,2,2,0.22322516143322,-0.0324211120605469
7,1,1,0.373021237552166,-0.0206762403249741
7,2,1,0.373021237552166,-0.0206762403249741
7,1,2,0.370164275169373,-0.0451071262359619
7,2,2,0.370164275169373,-0.0451071262359619
8,1,1,0.378399409353733,-0.0157630704343319
8,2,1,0.378399409353733,-0.0157630704343319
8,1,2,0.346594303846359,0.0522763729095459
8,2,2,0.346594303846359,0.0522763729095459
9,1,1,0.14976204931736,-0.0280869454145432
9,2,1,0.14976204931736,-0.0280869454145432
9,1,2,0.139096572995186,0.0126754492521286
9,2,2,0.139096572995186,0.0126754492521286
10,1,1,0.139517545700073,-0.00147151947021484
10,2,1,0.139517545700073,-0.00147151947021484
10,1,2,0.164192676544189,-0.0356683731079102
10,2,2,0.164192676544189,-0.0356683731079102
