subject,session,precue,intercept,slope
1,1,1,0.520108461380005,0.0819096565246582
1,2,1,0.402307108044624,0.119968920946121
1,1,2,0.491647720336914,0.089108943939209
1,2,2,0.393804550170898,0.134757041931152
2,1,1,0.18813943862915,0.112107753753662
2,2,1,0.237454233691096,0.0382487252354622
2,1,2,0.265411540865898,0.0328958034515381
2,2,2,0.276056071225298,0.0472212896908104
3,1,1,0.293548805639148,0.118881449103355
3,2,1,0.205589927732944,0.0449819266796112
3,1,2,0.314345620572567,0.0802382528781891
3,2,2,0.223229050636292,-0.0324236154556274
4,1,1,0.373029031790793,-0.0206876024603844
4,2,1,0.378403544425964,-0.0157742500305176
4,1,2,0.370167702436447,-0.0451056957244873
4,2,2,0.346602380275726,0.0522753000259399
5,1,1,0.149759903550148,-0.0280844569206238
5,2,1,0.139517112635076,-0.0014740452170372
5,1,2,0.139098841696978,0.0126745030283928
5,2,2,0.164190769195557,-0.0356712341308594
6,1,1,0.19849294424057,0.0907819271087646
6,2,1,0.178314208984375,0.0502853393554688
6,1,2,0.171005167067051,0.0601860098540783
6,2,2,0.207813258515671,0.0282365046441555
7,1,1,0.488948464393616,0.129730939865112
7,2,1,0.494285583496094,0.157684326171875
7,1,2,0.479946383740753,0.13860535249114
7,2,2,0.577149353921413,0.0332288444042206
8,1,1,0.178593960124999,0.1411467269063
8,2,1,0.198452956974506,0.0096488893032074
8,1,2,0.234524162486196,0.00345796346664429
8,2,2,0.223226934671402,-0.0220588445663452
9,1,1,0.250736385583878,0.120154619216919
9,2,1,0.286721231415868,0.0466330721974373
9,1,2,0.310961812734604,0.0299966335296631
9,2,2,0.339677810668945,-0.0218658447265625
10,1,1,0.317525271791965,0.00152026861906052
10,2,1,0.341114848852158,0.0313694477081299
10,1,2,0.350016786716878,-0.023420125246048
10,2,2,0.348065353929996,0.016209565103054
